type,title,location,site_visit_date,ROM,solicitationNumber,department,typeOfSetAsideDescription,responseDeadLine,postedDate,naicsCode,organizationType,typeOfSetAside,fullParentPathCode,award,Queried_NAICS,resourceLinks,fullParentPathName,archiveDate,active,uiLink,additionalInfoLink,baseType
Solicitation,"Install Water/Wastewater Mains, ICBM Road",Not Specified,,,W9127826RA044,,Total Small Business Set-Aside (FAR 19.5),2026-05-21T14:00:00-05:00,2026-05-08,237110,OFFICE,SBA,021.2100.USACE.SAD.SAM.W91278,,237110,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH ATLANTIC.ENDIST MOBILE.W074 ENDIST MOBILE,2026-09-30,Yes,https://sam.gov/workspace/contract/opp/03161e2e31de4fa99dd1811943255935/view,,Solicitation
Solicitation,Sam Houston Trail Bridge Replacement,"Lufkin, Texas",,"$1,000,000 and $5,000,000 | $1,000,000 | $5,000,000",127EAV26R0009,,Total Small Business Set-Aside (FAR 19.5),2026-05-29T14:00:00-05:00,2026-05-09,237310,OFFICE,SBA,012.12C2.128371,,237310,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0cd090d330d34b6c80bf5237cd6e60dc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/32f2c934ce5f4ed191a4acf01f55b35c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4158394b93e94f20b7db19a18b594da5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/51a3a1338bda43c6b9d7e0492976c06e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/59de6b1224c84a949b28340dee9ef0b7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/63035d4427c24b1ca1d1a131bfc1783d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/842869e56e5b4dcf9e30d1b4ee03ea31/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/860349aa666a497a975ba32d453afc41/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/98330a7f163b4cc3baa86a8c18737e09/download']","AGRICULTURE, DEPARTMENT OF.FOREST SERVICE.Southwestern Regional Office, Region 3",2026-06-13,Yes,https://sam.gov/workspace/contract/opp/2408996782a6472e82945cb318d38c0a/view,,Solicitation
Solicitation,Y--GLBA REHAB WATERLINE,Not Specified,,,140P9726R0002,,Total Small Business Set-Aside (FAR 19.5),2026-06-24T17:00:00-04:00,2026-06-08,237110,OFFICE,SBA,014.1443.140P97,,237110,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/21f00293c1344c029014a5fdf29c5a9e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2b7db0bb32be43dd8156318fe77c4d42/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3cecaf849ed64471a34ab809d9408c9b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/41a61f73b7b6468fa6e8728e96b53a5e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/476f84b75d004db7a72db2e7afbca6fb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5013b98152a74dc09bb7760801b6af6e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5c896eab98574fe3b3d6cf35e96030c6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/61a60bb05bc6469081117492b316e3ba/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/69a4af1188a841f48eebc62a9f3add7b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8a026241a4d544908b239632c3785ca8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/da8139d20ffb407781d8729f3a326983/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e899006e66b64d379452a777b3e382d7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f605025e9d4f44f5bb8d9859518ca8b0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f81bf1ab110d474eb036268a3f12c91e/download']","INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.ALASKA REGIONAL OFFICE(97000)",2026-07-09,Yes,https://sam.gov/workspace/contract/opp/dca4918d996843b8b6a4436772d28dc9/view,,Solicitation
Solicitation,DESGIN BUILD/DESIGN BID BUILD ENVIRONMENTAL INFRASTRUCTURE MATOC  ,Not Specified,,$1M to $15M | $1 million and $15 Million | approximately $1 million,W912P526RA008,,Total Small Business Set-Aside (FAR 19.5),2026-06-22T09:00:00-05:00,2026-06-08,237110,OFFICE,SBA,021.2100.USACE.LRD.LRN.W912P5,,237110,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST NASHVILLE.W072 ENDIST NASHVILLE,2027-06-08,Yes,https://sam.gov/workspace/contract/opp/e4df5bab85b446aba9b7400fa18add86/view,,Solicitation
Solicitation,Z2NE--544-22-115 Replace Water and Fire Piping Loop,"Columbia, South Carolina",,,36C24726R0074,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-19T15:00:00-04:00,2026-06-03,237110,OFFICE,SDVOSBC,036.3600.36C247,,237110,,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.247-NETWORK CONTRACT OFFICE 7 (36C247)",2026-07-04,Yes,https://sam.gov/workspace/contract/opp/8efa1ce77a1646e2b46add01dc2efd70/view,,Solicitation
Solicitation,CA-FWS MODOC NWR-WATER MAIN REPAIR,Not Specified,,"$50,000 to $65,000.00 | $50,000 | $65,000.00",140FC326Q0024,,Total Small Business Set-Aside (FAR 19.5),2026-06-15T15:00:00-04:00,2026-05-15,237110,OFFICE,SBA,014.1448.140F1B,,237110,,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS CONSTRUCTION & A/E - BIL/DISASTER",2026-06-30,Yes,https://sam.gov/workspace/contract/opp/1f83f0d246e840f3bdad389c5e7f6b6b/view,,Solicitation
Solicitation,PAIS WASTE WATER TANK REPLACEMENT,Not Specified,,,140P6326Q0022,,Indian Small Business Economic Enterprise (ISBEE) Set-Aside (specific to Department of Interior and Indian Health Services),2026-06-22T12:00:00-06:00,2026-05-13,237110,OFFICE,ISBEE,014.1443.140P63,,237110,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5163c7788d584eac8d13e7cc8378d33b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/53a0cd30b68a40bdb8dfefa6f101dae7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/760c545f4cac4357ac3df5dfd2b589bb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/dbd169bea3ff4c1caaf8bb2e8c44b033/download']","INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR NEKOTA(63000)",2026-07-07,Yes,https://sam.gov/workspace/contract/opp/4a761e7b04f647798fb28158552d0906/view,,Presolicitation
Solicitation,"FORT MYERS BEACH HARBOR, MAINTENANCE DREDGING LEE COUNTY, FLORIDA",Not Specified,,"$5,000,000.00 and $10,000,000.00 | $37 million | $5,000,000.00",GROUP1-26-R-J002,,Total Small Business Set-Aside (FAR 19.5),2026-05-15T14:00:00-04:00,2026-05-14,237990,OFFICE,SBA,021.2100.USACE.SAD.SAJ.W912EP,,237990,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/14386312afbb4c7386e036d85ee27504/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2e92847f396f4c2ba74208909d2f2752/download']",DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH ATLANTIC.ENDIST JACKSONVILLE.W074 ENDIST JACKSNVLLE,2026-10-01,Yes,https://sam.gov/workspace/contract/opp/7abc05664f8e4df792aee0350b11f31c/view,,Solicitation
Solicitation,Z--LARO SEVEN BAYS LIFT STATION REPAIRS,Not Specified,,,140P8326Q0033,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T13:00:00-07:00,2026-06-03,237110,OFFICE,SBA,014.1443.140P83,,237110,,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR OLYM MABO(83000)",2026-06-20,Yes,https://sam.gov/workspace/contract/opp/0fad53fe958f4944bb9d571023f8de7c/view,,Solicitation
Solicitation,Z--Red Mountain Road Upgrade 2026,Not Specified,,,140L1226R0004,,Total Small Business Set-Aside (FAR 19.5),2026-05-18T17:00:00-07:00,2026-05-08,237310,OFFICE,SBA,014.1422.140L12,,237310,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/245c091342d84f06959bb9a2bea3d1a8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2f2995b0b6ba47f28ee8e3a25fb1d11d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/39cd1332e18e45718a9fb32eb12b991c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/63aaeea2cbb54762a908298354197c46/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7f0baca9dab84c738adec2d97991a218/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/848b3b5570e6497099ee573e280eb2ce/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a232c95004284e6a89477fbd6a8844ab/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a71e86fe10734c2c86fc467dad2356d3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bfaf0d59ca194b4eaae7bb29a0bb8782/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d4d08af6970c4737acc78c70b831b157/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e231951fd0b840c7b67bd90a5d136cb6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f58217f703734d8bb7dba1ba9c80cc33/download']","INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.CALIFORNIA STATE OFFICE",2026-06-02,Yes,https://sam.gov/workspace/contract/opp/6423c598e47c4c5fafc4dd34687e5a16/view,,Solicitation
Solicitation,M--Boardwalk Replacement @ CUVA,Not Specified,,,140P6426B0005,,Total Small Business Set-Aside (FAR 19.5),2026-05-27T12:00:00-04:00,2026-05-20,237990,OFFICE,SBA,014.1443.140P64,,237990,,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR OHIO(64000)",2026-09-30,Yes,https://sam.gov/workspace/contract/opp/0e747d2ede3d45fbbb51ff4c483c7229/view,,Solicitation
Solicitation,Y--Arkansas Valley Conduit - Crowley Reach 1,Not Specified,,,140R6026R0001,,Total Small Business Set-Aside (FAR 19.5),2026-05-29T14:00:00-06:00,2026-05-20,237110,OFFICE,SBA,014.1425.140R60,,237110,,"INTERIOR, DEPARTMENT OF THE.BUREAU OF RECLAMATION.GREAT PLAINS REGIONAL OFFICE",2026-06-13,Yes,https://sam.gov/workspace/contract/opp/effb36308dc4432483922e1d6622dbb8/view,,Solicitation
Solicitation,F--PAGR MEK SURFACE REHAB ,Not Specified,,,140P4526Q0022,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T14:00:00-04:00,2026-06-01,237310,OFFICE,SBA,014.1443.140P43,,237310,,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.NER SERVICES MABO (43000)",2026-06-23,Yes,https://sam.gov/workspace/contract/opp/a3a0e16921db4c2d99e130fe5fbd0dea/view,,Solicitation
Solicitation,Z--PAGR RESTORE MAINT. LOT ,Not Specified,,,140P4526Q0021,,Total Small Business Set-Aside (FAR 19.5),2026-06-09T14:00:00-04:00,2026-06-01,237310,OFFICE,SBA,014.1443.140P43,,237310,,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.NER SERVICES MABO (43000)",2026-06-24,Yes,https://sam.gov/workspace/contract/opp/3fa5c2b1fcda425db64aff98876ed622/view,,Solicitation
